company_name,phone,phone_normalized,website,source
ისანი ბილდინგი,270 85 70,+995322708570,http://www.isanibuilding.ge,yell.ge
ისანი ბილდინგი,(591) 29 19 92,+995591291992,http://www.isanibuilding.ge,yell.ge
ისანი ბილდინგი,(597) 55 55 33,+995597555533,http://www.isanibuilding.ge,yell.ge
შპს ჯითიბი,032 2 421 481,+995322421481,https://gtbgroup.ge,yell.ge
კაიზენ კონსტრაქშენ ჯორჯია,+995 511 748 748,+995511748748,https://www.kcg.ge,yell.ge
ვინსონი,(551) 49 44 94,+995551494494,https://vinson.ge,yell.ge
დაგი,238 08 55,+995322380855,http://www.dagi.ge,yell.ge
დაგი,238 26 55,+995322382655,http://www.dagi.ge,yell.ge
ექსპრესსერვისი 2008,239 44 09,+995322394409,http://www.es2008.ge,yell.ge
ექსპრესსერვისი 2008,(595) 45 28 28,+995595452828,http://www.es2008.ge,yell.ge
ანაგი,2 24 12 11,+995322241211,http://www.anagi.ge,yell.ge
სამშენებლო კომპანია ერთი,(595) 48 48 48,+995595484848,https://www.shpunt.ge,yell.ge
იუ ბი სი,+995 595 51 91 05,+995595519105,https://www.ubc.ge,yell.ge
იუ ბი სი,+995 599 23 69 09,+995599236909,https://www.ubc.ge,yell.ge
ბლოქსი,205 07 07,+995322050707,http://www.blox.ge,yell.ge
ბილდლაინ ქონსთრაქშენი,222 10 40,+995322221040,https://buildline.ge,yell.ge
სითი epc,(577) 35 12 11,+995577351211,https://city-epc.com,yell.ge
გალაქსი კონსტრაქშენ,(599) 244 664,+995599244664,http://www.galaxygroup.ge,yell.ge
გალაქსი კონსტრაქშენ,(596) 24 00 00,+995596240000,http://www.galaxygroup.ge,yell.ge
ფარენჰაიტი,(551) 29 52 00,+995551295200,https://pvcfarda.ge/index.html,yell.ge
ევორდ,(568) 55 78 00,+995568557800,http://www.award.ge,yell.ge
ბი ქეი ქონსთრაქშენ,299 44 11,+995322994411,http://www.bkc.ge,yell.ge
აიბილდი,205 21 21,+995322052121,http://www.ibuild.ge,yell.ge
აიბილდი,(596) 80 21 21,+995596802121,http://www.ibuild.ge,yell.ge
ჩვენი სახლი,(558) 54 86 13,+995558548613,https://www.2e2.club,yell.ge
ვერტიკალ გრუპი,(577) 13 32 00,+995577133200,https://vgroup.ge,yell.ge
ვერტიკალ გრუპი,(577) 77 72 55,+995577777255,https://vgroup.ge,yell.ge
ექს სითი,(557) 97 97 77,+995557979777,http://www.excity.ge,yell.ge
სინერჯი ქონსთრაქშინ,(577) 98 01 27,+995577980127,https://www.syncons.eu,yell.ge
ეკობინა,(599) 58 58 17,+995599585817,http://www.ecobina.ge,yell.ge
ეკობინა,(514) 605 605,+995514605605,http://www.ecobina.ge,yell.ge
კ ჯგუფი,(599) 806 807,+995599806807,https://www.kgroup.ge,yell.ge
კ ჯგუფი,(555) 14 40 64,+995555144064,https://www.kgroup.ge,yell.ge
კ ჯგუფი,204 30 30,+995322043030,https://www.kgroup.ge,yell.ge
ეპიკ დეველოპმენტი,211 22 11,+995322112211,http://www.epicdevelopment.ge,yell.ge
ეპიკ დეველოპმენტი,(555) 22 97 97,+995555229797,http://www.epicdevelopment.ge,yell.ge
მედმშენი,(577) 15 14 95,+995577151495,http://www.medmsheni.ge,yell.ge
ჰაბმშენი,(595) 500 065,+995595500065,https://www.hubmsheni.com,yell.ge
ჯორჯიან ინჟინირინგი,(568) 77 27 04,+995568772704,http://www.georgianengineering.com,yell.ge
ჯორჯიან ინჟინირინგი,(568) 77 10 01,+995568771001,http://www.georgianengineering.com,yell.ge
ზმკ - ZMK,2 309 200,+995322309200,http://www.zmk.ge,yell.ge
ზმკ - ZMK,2 38 58 53,+995322385853,http://www.zmk.ge,yell.ge
გოდოლი,(593) 37 67 32,+995593376732,http://www.godoli.ge,yell.ge
გოდოლი,(577) 74 54 01,+995577745401,http://www.godoli.ge,yell.ge
გოდოლი,(577) 78 10 05,+995577781005,http://www.godoli.ge,yell.ge
ახალი თბილისი,210 30 00,+995322103000,http://www.akhalitbilisi.ge,yell.ge
ტედა ლუქსი,(555) 93 83 91,+995555938391,https://tdl.ge,yell.ge
სონნეთ ქონსთრაქშენ,(595) 30 20 05,+995595302005,http://www.sonnet.ge,yell.ge
კომლფორტი,(596) 04 60 60,+995596046060,https://comlforti.ge,yell.ge
გლობალ სტანდარტმშენი,290 34 56,+995322903456,http://www.grass.com.ge,yell.ge
გლობალ სტანდარტმშენი,(599) 41 44 40,+995599414440,http://www.grass.com.ge,yell.ge
ხომერიკი და კომპანია,(599) 27 08 34,+995599270834,https://wa.me/995599270834,yell.ge
რუფლაინ,(599) 26 90 10,+995599269010,https://www.roofline.ge,yell.ge
სპეცკომფორტი,2 110 310,+995322110310,http://www.speckomforti.ge,yell.ge
სპეცკომფორტი,(598)  928 928,+995598928928,http://www.speckomforti.ge,yell.ge
ნიკოლმანი,(599) 44 64 64,+995599446464,https://nikolman.com,yell.ge
სოლო დეველოპმენტი,231 77 75,+995322317775,http://www.solodevelopment.ge,yell.ge
სოლო დეველოპმენტი,(599) 100 774,+995599100774,http://www.solodevelopment.ge,yell.ge
ჯეოინჟინირინგი,(599) 53 00 83,+995599530083,http://www.geoengineering.ge,yell.ge
ბილდინგ ჰაუს,(593) 32 08 02,+995593320802,http://www.buildinghouse.ge,yell.ge
დაიმონდ პროჯექტს,219 52 52,+995322195252,http://www.diamond-projects.ge,yell.ge
დაიმონდ პროჯექტს,(591) 47 14 71,+995591471471,http://www.diamond-projects.ge,yell.ge
აზიმუტი,221 11 10,+995322211110,http://www.azimuti.ge,yell.ge
გეოარტქონსთრაქშენი,(555) 90 13 65,+995555901365,https://geoartconstruction.ge,yell.ge
ნდს მშენებლობა,(599) 51 92 52,+995599519252,http://www.ndcconstruction.ge,yell.ge
ნდს მშენებლობა,(555) 76 07 70,+995555760770,http://www.ndcconstruction.ge,yell.ge
ქ გრუპი,242 16 61,+995322421661,https://www.qgroup.ge,yell.ge
ქ გრუპი,(593) 93 15 15,+995593931515,https://www.qgroup.ge,yell.ge
ქ გრუპი,(577) 26 55 75,+995577265575,https://www.qgroup.ge,yell.ge
ელიტჰოუმი,+995 511 72 70 15,+995511727015,https://www.elitehome.ge,yell.ge
ინ-სი,221 31 95,+995322213195,http://www.insi.ge,yell.ge
ინ-სი,221 31 94,+995322213194,http://www.insi.ge,yell.ge
გრინჰილ რეზიდენსი,2 191 191,+995322191191,http://www.greenhill.ge,yell.ge
გრინჰილ რეზიდენსი,(598) 901 901,+995598901901,http://www.greenhill.ge,yell.ge
ოპტიმუსი,(595) 90 22 25,+995595902225,http://www.optimusi.ge,yell.ge
აიდისი,(599) 50 38 15,+995599503815,http://www.idc.ge,yell.ge
აიდისი,221 00 50,+995322210050,http://www.idc.ge,yell.ge
აიდისი,221 00 48,+995322210048,http://www.idc.ge,yell.ge
ბლექ სი გრუპი,220 74 74,+995322207474,http://www.bsg.com.ge,yell.ge
ბლექ სი გრუპი,220 74 75,+995322207475,http://www.bsg.com.ge,yell.ge
ბლექ სი გრუპი,220 74 20,+995322207420,http://www.bsg.com.ge,yell.ge
სიემსი - სამშენებლო მენეჯმენტი და კონსალტინგი,224 07 17,+995322240717,http://www.cmc.ge,yell.ge
ინდეკო სი ემ,(595) 999 516,+995595999516,https://indeco.ge,yell.ge
იუნიქს დეველოპმენტი,032 2 05 16 16,+995322051616,https://house.ge/,yell.ge
იუნიქს დეველოპმენტი,(574) 54 88 88,+995574548888,https://house.ge/,yell.ge
დომუს ჯგუფი,223 25 23,+995322232523,http://www.domusi.com,yell.ge
დომუს ჯგუფი,223 28 29,+995322232829,http://www.domusi.com,yell.ge
ალფა-ტექს ქონსთრაქშენი,(598) 943 943,+995598943943,https://www.alfatexx.ge,yell.ge
ბიმ კუბ ქონსალთინგი,(591) 00 60 01,+995591006001,http://www.bim.ge,yell.ge
სამშენებლო ლაბორატორია,(577) 65 03 62,+995577650362,http://www.loc.ge,yell.ge
სამშენებლო ლაბორატორია,(551) 51 52 52,+995551515252,http://www.loc.ge,yell.ge
პრაიმ ბეტონი,222 48 70,+995322224870,https://primeconcrete.ge,yell.ge
პრაიმ ბეტონი,(598) 818 818,+995598818818,https://primeconcrete.ge,yell.ge
ელემენტ კონსტრაქშენი,237 47 37,+995322374737,http://www.ec.ge,yell.ge
ელემენტ კონსტრაქშენი,(533) 333 352,+995533333352,http://www.ec.ge,yell.ge
ბიჰაუსი,(599) 38 40 10,+995599384010,https://bhouse.ge,yell.ge
ბიჰაუსი,(595) 40 04 04,+995595400404,https://bhouse.ge,yell.ge
BD Property,+995322202323,+995322202323,http://www.tbilisigardens.ge/,bia.ge
ELITE DEVELOPMENT,+995596000200,+995596000200,http://www.kobuleti-r.ge/,bia.ge
ELITE DEVELOPMENT,+995596000400,+995596000400,http://www.kobuleti-r.ge/,bia.ge
ELITE DEVELOPMENT,+995596000700,+995596000700,http://www.kobuleti-r.ge/,bia.ge
M B G. LTD,+995592121132,+995592121132,https://www.mb.ge/,bia.ge
M B G. LTD,+995571553236,+995571553236,https://www.mb.ge/,bia.ge
აზიმუტი,+995577411414,+995577411414,http://www.azimuti.ge/,bia.ge
ართვინ ჯორჯია,+995598831212,+995598831212,http://www.artwin.ge/,bia.ge
არკონ,+995599274727,+995599274727,http://www.arcon.ge/,bia.ge
არქ–დეკო,+995599511751,+995599511751,http://www.archdeco.ge/,bia.ge
არქ–დეკო,+995555551158,+995555551158,http://www.archdeco.ge/,bia.ge
ბათმშენი,+995557304040,+995557304040,http://www.intouristresidence.ge/,bia.ge
ბათმშენი,+995558304040,+995558304040,http://www.intouristresidence.ge/,bia.ge
გზა,+995422221111,+995422221111,http://www.gza.ge/,bia.ge
გზა,+995422224444,+995422224444,http://www.gza.ge/,bia.ge
გრანდე ჯგუფი,+995595909999,+995595909999,https://www.grandegroup.ge/,bia.ge
გრინლაიფ – Greenlife,+995322432576,+995322432576,http://www.greenlife.ge/,bia.ge
გრინლაიფ – Greenlife,+995322500250,+995322500250,http://www.greenlife.ge/,bia.ge
დომუს ჯგუფი,+995595932222,+995595932222,http://www.domusi.com/,bia.ge
დონა გრუპ,+995322320099,+995322320099,http://www.dona.ge/,bia.ge
დონა გრუპ,+995595544040,+995595544040,http://www.dona.ge/,bia.ge
ექს სითი,+995593601201,+995593601201,http://www.excity.ge/,bia.ge
ზემინ ტექნოლოჟისი ულუსლარარასის საქართველოს ფილიალი,+995577548788,+995577548788,http://www.zetas.com.tr/,bia.ge
ზიმო,+995551239779,+995551239779,http://www.zimo.ge/,bia.ge
თიდი კონსტრაქშენ,+995591772255,+995591772255,https://tdconstruction.ge/,bia.ge
თი-ისთეითი,+995593939093,+995593939093,https://testate.ge/,bia.ge
იდეა დეველოპმენტ,+995598229922,+995598229922,https://www.ideadevelopment.ge/,bia.ge
კალციტი,+995599562532,+995599562532,https://www.caltsiti.ge/,bia.ge
კალციტი,+995595335013,+995595335013,https://www.caltsiti.ge/,bia.ge
კომპანია ჯაოკენი,+995322699697,+995322699697,http://www.jaokeni.ge/,bia.ge
ლიტ ჯეო ინვესტი,+995577540059,+995577540059,http://www.litgeoinvest.ge/,bia.ge
მარდი,+995598342574,+995598342574,http://www.mardiltd.weebly.com/,bia.ge
მარდი,+995599484811,+995599484811,http://www.mardiltd.weebly.com/,bia.ge
ნუროლ ინშაათ ვე თიჯარეთის წარმომადგენლობა საქართველოში,+995422229000,+995422229000,http://www.sheraton.com/batumi,bia.ge
ნუროლ ინშაათ ვე თიჯარეთის წარმომადგენლობა საქართველოში,+995422229022,+995422229022,http://www.sheraton.com/batumi,bia.ge
ოლიმპ ჯორჯია,+995322192219,+995322192219,http://www.biotapark.ge/,bia.ge
ოლიმპ ჯორჯია,+995557557722,+995557557722,http://www.biotapark.ge/,bia.ge
პარვუს ქონსთრაქშენი,+995595037000,+995595037000,https://www.parvus.ge/,bia.ge
პრიმა პლიუსი,+995322369606,+995322369606,http://www.primagroup.ge/,bia.ge
პრიმერა გოლფ ენდ რეზიდენც,+995599999904,+995599999904,https://www.primeragolf.com/,bia.ge
პრიმერა გოლფ ენდ რეზიდენც,+995577402402,+995577402402,https://www.primeragolf.com/,bia.ge
სამშენებლო კომპანია აპექს დეველოპმენტი,+995555035555,+995555035555,http://www.apexd.ge/,bia.ge
სამშენებლო კომპანია აპექს დეველოპმენტი,+995322555055(115),+995322555055,http://www.apexd.ge/,bia.ge
სამშენებლო კომპანია აპექს დეველოპმენტი,+995555045555,+995555045555,http://www.apexd.ge/,bia.ge
სონნეთ ქონსთრაქშენ+,+995591220707,+995591220707,https://sonnet.ge/,bia.ge
სურვეიორ,+995514006464,+995514006464,http://www.surveyor.ge/,bia.ge
ტერასა გრუპი,+995322044044,+995322044044,http://www.terrassagroup.ge/,bia.ge
ტესენ ქონსთრაქშენი,+995511111771,+995511111771,https://tesengroup.com/,bia.ge
ტიბინი დეველოპმენტი,+995568408080,+995568408080,http://www.tbn.ge/,bia.ge
ალიანსი თბილისი,+995322250000,+995322250000,http://www.alliancegroup.ge/,bia.ge
ანაგი დეველოპმენტი 1,+995322318318,+995322318318,https://ad.ge/,bia.ge
ანაგი დეველოპმენტი 1,+995577318318,+995577318318,https://ad.ge/,bia.ge
ბათთაუერსი,+995514769191,+995514769191,http://www.battowers.ge/,bia.ge
ბალავარი,+995598621818,+995598621818,http://www.balavari.ge/,bia.ge
ბალავარი,+995595426868,+995595426868,http://www.balavari.ge/,bia.ge
ბალავარი პროპერთის,+995595926868,+995595926868,http://www.balavari.ge/,bia.ge
ბანი 2007,+995557557551,+995557557551,http://banigroup.ge/,bia.ge
გლობალ სტანდარტმშენი,+995597414440,+995597414440,http://www.grass.com.ge/,bia.ge
დაიმონდ პროჯექტს,+995599030393,+995599030393,http://www.diamond-projects.ge/,bia.ge
დაიმონდ პროჯექტს,+995591707873,+995591707873,http://www.diamond-projects.ge/,bia.ge
დოპელმაიერ საუს კაუკაზუს,+995322252505,+995322252505,https://www.doppelmayr.com/,bia.ge
ეი თი დეველოპმენტი,+995574777703,+995574777703,http://www.atdevelopment.ge/,bia.ge
იქსორი წერეთელზე,+995599618888,+995599618888,http://www.x2.ge/,bia.ge
იქსორი წერეთელზე,+995599873333,+995599873333,http://www.x2.ge/,bia.ge
კალატოზი,+995593187272,+995593187272,https://www.kalatozi.com/,bia.ge
კალატოზი,+995558047047,+995558047047,https://www.kalatozi.com/,bia.ge
კომპანია რეზიდ ჰოლდინგ ჯიემბიეიჩ–ის ფილიალი საქართველოში რეზიდ–თბილისი,+995322001818,+995322001818,https://kdr.ge/,bia.ge
კომპანია რეზიდ ჰოლდინგ ჯიემბიეიჩ–ის ფილიალი საქართველოში რეზიდ–თბილისი,+995322001718,+995322001718,https://kdr.ge/,bia.ge
კომპანია რეზიდ ჰოლდინგ ჯიემბიეიჩ–ის ფილიალი საქართველოში რეზიდ–თბილისი,+995322001744,+995322001744,https://kdr.ge/,bia.ge
კომპანია რეზიდ ჰოლდინგ ჯიემბიეიჩ–ის ფილიალი საქართველოში რეზიდ–თბილისი,+995322250909,+995322250909,https://kdr.ge/,bia.ge
კონსოლი,+995322197878,+995322197878,http://www.console.ge/,bia.ge
ლგ გრუპი,+995571855522,+995571855522,http://www.lggroup.ge/,bia.ge
ლგ გრუპი,+995571568844,+995571568844,http://www.lggroup.ge/,bia.ge
ლგ გრუპი,+995322500080,+995322500080,http://www.lggroup.ge/,bia.ge
მარდი კონსტრაქშენ,+995574202020,+995574202020,https://www.mardihouse.ge/,bia.ge
მეგა დეველოპმენტი,+995557805805,+995557805805,http://www.megadevelopment.ge/,bia.ge
მეგა ჰოლდინგი,+995322322222,+995322322222,https://megaholding.com.ge/ka,bia.ge
მეგობრობა,+995555101567,+995555101567,http://www.megobroba.ge/,bia.ge
მიქსორი,+995322656705,+995322656705,https://www.mixori.ge/,bia.ge
მიქსორი,+995322656730,+995322656730,https://www.mixori.ge/,bia.ge
ნექსთ ედრეს,+995514111111,+995514111111,https://www.nextgroup.ge/,bia.ge
ოცნების სახლი,+995555151414,+995555151414,https://www.dhouse.ge/,bia.ge
ოცნების სახლი,+995593413110,+995593413110,https://www.dhouse.ge/,bia.ge
რეალ პალასი,+995557784747,+995557784747,http://www.realpalace.ge/,bia.ge
ს მოტორს,+995322700100,+995322700100,http://www.smotors.ge/,bia.ge
ფაივ პოინტს,+995595150500,+995595150500,http://www.fivepoints.ge/,bia.ge
ფაივ პოინტს,+995599915050,+995599915050,http://www.fivepoints.ge/,bia.ge
ფერი,+995322528871,+995322528871,http://www.peri.ge/,bia.ge
ფერი,+995322532247,+995322532247,http://www.peri.ge/,bia.ge
ქ გრუპი,+995577774184,+995577774184,https://www.qgroup.ge/,bia.ge
ქართულ ესპანური სამშენებლო კომპანია 2017,+995568606080,+995568606080,http://www.gsbcgroup.ge/,bia.ge
ქრიათივ იმფრეშენს კავკასუს,+995591092222,+995591092222,http://www.cic.ge/,bia.ge
ქრიათივ იმფრეშენს კავკასუს,+995422225144,+995422225144,http://www.cic.ge/,bia.ge
ჯავა,+995322601777,+995322601777,http://www.javaltd.ge/,bia.ge
ჯბჯ,+995591507020,+995591507020,http://www.mygbg.ge/,bia.ge
ჰაუსარტ – ლუქსი,+995555252259,+995555252259,http://www.hausart.ge/,bia.ge
აკა,+995598499994,+995598499994,http://www.akadevelopment.ge/,bia.ge
აკა,+995593499994,+995593499994,http://www.akadevelopment.ge/,bia.ge
ალაბვაზ რეალ ესთეით კომპანი,+995557133422,+995557133422,https://www.alabwaz.ge/,bia.ge
ალექსანდრე სხულუხია,+995593183718,+995593183718,http://www.thouse.ge/,bia.ge
ალისფერი აფრები,+995568002211,+995568002211,http://www.alisperiaprebi.ge/,bia.ge
არქთრეიდი,+995322207400,+995322207400,http://www.archtrade.ge/,bia.ge
არქთრეიდი,+995322207401,+995322207401,http://www.archtrade.ge/,bia.ge
არქი პრომოუშენ,+995322602602,+995322602602,http://www.archi.ge/,bia.ge
არქტური +,+995551080013,+995551080013,http://www.arqturi.ge/,bia.ge
ეიმ ბილდინგ სითი,+995322041044,+995322041044,https://www.aim.ge/,bia.ge
ემ.ბი.ჯი.,+995592727220,+995592727220,https://www.mbg.ge/,bia.ge
ემ.ბი.ჯი.,+995592727247,+995592727247,https://www.mbg.ge/,bia.ge
ემ.ბი.ჯი.,+995592727200,+995592727200,https://www.mbg.ge/,bia.ge
ემ.ბი.ჯი.,+995592727293,+995592727293,https://www.mbg.ge/,bia.ge
ენენ ჯგუფი,+995599258822,+995599258822,http://www.newhouse.ge/,bia.ge
ენენ ჯგუფი,+995322306888,+995322306888,http://www.newhouse.ge/,bia.ge
თი ემ ეს ქონსტრაქშენი,+995595172122,+995595172122,http://tmsc.ge/ge,bia.ge
ისანი ბილდინგ,+995322705959,+995322705959,http://www.isanibuilding.ge/,bia.ge
იქსორი,+995511202220,+995511202220,http://www.x2.ge/,bia.ge
კანო,+995341293444,+995341293444,http://www.kano.ge/,bia.ge
კანო,+995577475433,+995577475433,http://www.kano.ge/,bia.ge
ნიუ თაიმ,+995571702020,+995571702020,http://www.ntime.ge/,bia.ge
ნიუ თაიმ,+995571706060,+995571706060,http://www.ntime.ge/,bia.ge
ნიუ თაიმ,+995577187171,+995577187171,http://www.ntime.ge/,bia.ge
ოდა,+995511777222,+995511777222,https://www.odahome.ge/,bia.ge
რენოვარე,+995599881106,+995599881106,http://www.renovare.ge/,bia.ge
რუმბოქსი,+995551831177,+995551831177,https://roombox.ge/,bia.ge
რუმბოქსი,+995322831177,+995322831177,https://roombox.ge/,bia.ge
საამშენებლო კომპანია ოდი,+995599240330,+995599240330,http://www.odi.ge/,bia.ge
საამშენებლო კომპანია ოდი,+995598115551,+995598115551,http://www.odi.ge/,bia.ge
სინერჯი ქონსთრაქშინ,+995577340178,+995577340178,http://www.syncons.eu/,bia.ge
სოლუმ დეველოპმენტი,+995322121111,+995322121111,http://www.solum.ge/,bia.ge
სოლუმ დეველოპმენტი,+995514221122,+995514221122,http://www.solum.ge/,bia.ge
სპეცჰიდრომშენი,+995322658372,+995322658372,http://www.shm.ge/,bia.ge
სპეცჰიდრომშენი,+995322658373,+995322658373,http://www.shm.ge/,bia.ge
სპეცჰიდრომშენი,+995322658377,+995322658377,http://www.shm.ge/,bia.ge
სპეცჰიდრომშენი,+995322658374,+995322658374,http://www.shm.ge/,bia.ge
ჯითისი ქონსთრაქშენ,+995322212161(122),+995322212161,https://www.gtcgroup.ge/,bia.ge
ჯსპ,+995599176831,+995599176831,http://www.gspltd.ge/,bia.ge
ჰილს დეველოპმენტი,+995551190004,+995551190004,http://www.vakehills.ge/,bia.ge
ჰილს დეველოპმენტი,+995322290004,+995322290004,http://www.vakehills.ge/,bia.ge
ჰორიზონს ჯგუფი,+995557030000,+995557030000,https://linktr.ee/horizonbatumi,bia.ge
ჰორიზონს ჯგუფი,+995557020000,+995557020000,https://linktr.ee/horizonbatumi,bia.ge
ალფა საბურთალო,+995514107070,+995514107070,https://alphahome.ge/,bia.ge
ბაგრატიონი რეზიდენსი,+995598932727,+995598932727,https://bagrationiresidence.ge/,bia.ge
ბაგრატიონი რეზიდენსი,+995598942727,+995598942727,https://bagrationiresidence.ge/,bia.ge
ბაუმ კონსთრაქშენ,+995322141110,+995322141110,http://www.block.ge/,bia.ge
ბაუმ კონსთრაქშენ,+995577141100,+995577141100,http://www.block.ge/,bia.ge
ბოტანიკალ გარდენს რეზიდენს,+995577564040,+995577564040,https://www.ruebushgroup.com/,bia.ge
გმ–გრუპი GM–group,+995599220004,+995599220004,http://www.gm-group.ge/,bia.ge
თალასა ჯგუფი,+995558944700,+995558944700,https://thalassagroup.ge/,bia.ge
ლიდერ გრუპი,+995579994444,+995579994444,http://www.leadergroup.ge/,bia.ge
მართე უსაფრთხოდ,+995598725530,+995598725530,http://www.marteusafrtxod.ge/,bia.ge
მართე უსაფრთხოდ,+995551185530,+995551185530,http://www.marteusafrtxod.ge/,bia.ge
მწვანე ფერი,+995597615858,+995597615858,https://www.greencolor.ge/,bia.ge
ორიონ ჯგუფი,+995322372222,+995322372222,https://www.oriongroup.ge/,bia.ge
ორიონ ჯგუფი,+995595372222,+995595372222,https://www.oriongroup.ge/,bia.ge
საბა კონსტრაქშენ,+995322103010,+995322103010,https://scn.ge/,bia.ge
სფერა,+995591343333,+995591343333,https://sphera.com.ge/,bia.ge
Hualing International Special Economic Zone,+995322780023,+995322780023,http://www.hotelspreference.ge/,bia.ge
Hualing International Special Economic Zone,+995322505025,+995322505025,http://www.hotelspreference.ge/,bia.ge
Hualing International Special Economic Zone,+995322973297,+995322973297,http://www.hotelspreference.ge/,bia.ge
აზერტუნელი–ს ფილიალი საქართველოში,+995322430110,+995322430110,http://www.azertunel.com/,bia.ge
აზერტუნელი–ს ფილიალი საქართველოში,+995579218314,+995579218314,http://www.azertunel.com/,bia.ge
ალიანსი ქობულეთი,+995322500000,+995322500000,https://alliance.ge/,bia.ge
ბი ემ ეს გრუპი,+995322835333,+995322835333,https://www.bmsgeorgia.com/,bia.ge
ბი ემ ეს გრუპი,+995596861818,+995596861818,https://www.bmsgeorgia.com/,bia.ge
ბინარეა,+995500052588,+995500052588,https://binarea.ge/,bia.ge
ბინარეა,+995500053130,+995500053130,https://binarea.ge/,bia.ge
გუმბათი ჯგუფი,+995322838281,+995322838281,http://www.gumbatigroup.ge/,bia.ge
გუმბათი ჯგუფი,+995555100100,+995555100100,http://www.gumbatigroup.ge/,bia.ge
ერთობლივი საწარმოს ტოდინი–ტაკენაკას ფილიალი საქართველოში,+995591115001,+995591115001,http://www.todini.it/,bia.ge
ინდეკო სი ემ,+995598420747,+995598420747,http://www.indeco.ge/,bia.ge
მაქრო ქონსთრაქშენ,+995322001010,+995322001010,http://www.maqro.ge/,bia.ge
მაქრო ქონსთრაქშენ,+995322000909,+995322000909,http://www.maqro.ge/,bia.ge
მეტი დეველოპმენტი,+995322301010,+995322301010,http://www.meti.ge/,bia.ge
მზიური დეველოპმენტ,+995593755050,+995593755050,https://mziuridevelopment.ge/,bia.ge
მზიური დეველოპმენტ,+995593765050,+995593765050,https://mziuridevelopment.ge/,bia.ge
მზიური დეველოპმენტ,+995322043434,+995322043434,https://mziuridevelopment.ge/,bia.ge
პლატინუმ ვაზისუბანი,+995558444484,+995558444484,http://www.platinum.ge/,bia.ge
პლატინუმ ვაზისუბანი,+995557663456,+995557663456,http://www.platinum.ge/,bia.ge
პრემიუმ  ჯგუფი,+995568220000,+995568220000,https://premiumgroup.ge/en,bia.ge
სამშენებლო კომპანია ალფა დეველოპმენტი,+995558543543,+995558543543,https://alfad.ge/,bia.ge
ტერასა ბათუმი,+995595268688,+995595268688,https://terrassagroup.ge/ka/catalogue/project/terrassa-batumi/,bia.ge
ტერასა წერეთელზე,+995574251251,+995574251251,http://www.terasa.ge/,bia.ge
ფენიქსი,+995598709933,+995598709933,http://www.newcomplex.ge/,bia.ge
ADOG-GEORGIA,+995599096181,+995599096181,http://www.ado-g.com/,bia.ge
ას კონსტრაქშენ,+995 32 2471144,+995322471144,http://www.asgeorgia.ge/,bia.ge
ას კონსტრაქშენ,+995 591 801199,+995591801199,http://www.asgeorgia.ge/,bia.ge
გრავიტა,+995322357272,+995322357272,https://www.gravita.ge/,bia.ge
დიეს ვაით ლაინი,+995422231111,+995422231111,http://www.dsg.ge/,bia.ge
